string_combination,,id,em,dm,events,lat_play,trips,seeds,tnb,online,ap,tp,string,sum,organization,total_amount,group,color,segment,Opportunities,,,
EM Online Account's Play Trips Lattice Play,,44,1,0,0,1,1,0,0,1,1,0,1001100110,5,EM Online Account's Play  Trips  Lattice Play,15000,Low,#DC5034,EB,1,,,
EM Online Events Lattice Play,,45,1,0,1,1,0,0,0,1,0,0,1011000100,4,EM Online Events Lattice Play,21510,Medium,#c1d82f,EB,6,,,
EM Online Events Third Party Lattice Play,,46,1,0,1,1,0,0,0,1,0,1,1011000101,5,EM Online Events Third Party Lattice Play,20000,Low,#DC5034,EB,1,,,
EM Online Events Trips Lattice Play,,47,1,0,1,1,1,0,0,1,0,0,1011100100,5,EM Online Events  Trips  Lattice Play,15000,Low,#DC5034,EB,2,,,
DM,,48,0,1,0,0,0,0,0,0,0,0,100000000,1,DM,25867,Medium,#c1d82f,EB,79,,,
DM Lattice Play,,49,0,1,0,1,0,0,0,0,0,0,101000000,2,DM Lattice Play,24785,Medium,#c1d82f,EB,218,,,
DM Third Party,,50,0,1,0,0,0,0,0,0,0,1,100000001,2,DM Third Party,23286,Medium,#c1d82f,EB,7,,,
DM Third Party Lattice Play,,51,0,1,0,1,0,0,0,0,0,1,101000001,3,DM Third Party Lattice Play,22896,Medium,#c1d82f,EB,14,,,
DM Trips,,52,0,1,0,0,1,0,0,0,0,0,100100000,2,DM  Trips ,70136,High,#7AB800,EB,11,,,
DM Trips Lattice Play,,53,0,1,0,1,1,0,0,0,0,0,101100000,3,DM  Trips  Lattice Play,36975,High,#7AB800,EB,25,,,
DM Trips Third Party,,54,0,1,0,0,1,0,0,0,0,1,100100001,3,DM  Trips  Third Party,30000,High,#7AB800,EB,1,,,
DM Trips Third Party Lattice Play,,55,0,1,0,1,1,0,0,0,0,1,101100001,4,DM  Trips  Third Party Lattice Play,15000,Low,#DC5034,EB,1,,,
DM Account's Play,,56,0,1,0,0,0,0,0,0,1,0,100000010,2,DM Account's Play,5000,Low,#DC5034,EB,1,,,
DM Account's Play Lattice Play,,57,0,1,0,1,0,0,0,0,1,0,101000010,3,DM Account's Play Lattice Play,23809,Medium,#c1d82f,EB,17,,,
DM Account's Play Third Party,,58,0,1,0,0,0,0,0,0,1,1,100000011,3,DM Account's Play Third Party,50000,High,#7AB800,EB,2,,,
DM Account's Play Third Party Lattice Play,,59,0,1,0,1,0,0,0,0,1,1,101000011,4,DM Account's Play Third Party Lattice Play,11500,Low,#DC5034,EB,2,,,
DM Account's Play Trips Third Party Lattice Play,,60,0,1,0,1,1,0,0,0,1,1,101100011,5,DM Account's Play  Trips  Third Party Lattice Play,25000,Medium,#c1d82f,EB,1,,,
DM Events,,61,0,1,1,0,0,0,0,0,0,0,110000000,2,DM Events,21083,Medium,#c1d82f,EB,6,,,
DM Events Lattice Play,,62,0,1,1,1,0,0,0,0,0,0,111000000,3,DM Events Lattice Play,36357,High,#7AB800,EB,7,,,
DM Events Third Party,,63,0,1,1,0,0,0,0,0,0,1,110000001,3,DM Events Third Party,16667,Low,#DC5034,EB,3,,,
DM Events Third Party Lattice Play,,64,0,1,1,1,0,0,0,0,0,1,111000001,4,DM Events Third Party Lattice Play,35000,High,#7AB800,EB,2,,,
DM Events Trips,,65,0,1,1,0,1,0,0,0,0,0,110100000,3,DM Events  Trips ,35000,High,#7AB800,EB,2,,,
DM Events Trips Lattice Play,,66,0,1,1,1,1,0,0,0,0,0,111100000,4,DM Events  Trips  Lattice Play,7500,Low,#DC5034,EB,2,,,
DM Events Trips Third Party,,67,0,1,1,0,1,0,0,0,0,1,110100001,4,DM Events  Trips  Third Party,27500,Medium,#c1d82f,EB,2,,,
DM Events Trips Third Party Lattice Play,,68,0,1,1,1,1,0,0,0,0,1,111100001,5,DM Events  Trips  Third Party Lattice Play,25255,Medium,#c1d82f,EB,2,,,
DM Events Account's Play Trips Lattice Play,,69,0,1,1,1,1,0,0,0,1,0,111100010,5,DM Events Account's Play  Trips  Lattice Play,26000,Medium,#c1d82f,EB,3,,,
DM Online,,70,0,1,0,0,0,0,0,1,0,0,100000100,2,DM Online,38050,High,#7AB800,EB,36,,,
DM Online Lattice Play,,71,0,1,0,1,0,0,0,1,0,0,101000100,3,DM Online Lattice Play,25489,Medium,#c1d82f,EB,137,,,
DM Online Third Party,,72,0,1,0,0,0,0,0,1,0,1,100000101,3,DM Online Third Party,11000,Low,#DC5034,EB,2,,,
DM Online Third Party Lattice Play,,73,0,1,0,1,0,0,0,1,0,1,101000101,4,DM Online Third Party Lattice Play,26286,Medium,#c1d82f,EB,7,,,
DM Online Trips,,74,0,1,0,0,1,0,0,1,0,0,100100100,3,DM Online  Trips ,27500,Medium,#c1d82f,EB,2,,,
DM Online Trips Lattice Play,,75,0,1,0,1,1,0,0,1,0,0,101100100,4,DM Online  Trips  Lattice Play,40800,High,#7AB800,EB,15,,,
DM Online Trips Third Party Lattice Play,,76,0,1,0,1,1,0,0,1,0,1,101100101,5,DM Online  Trips  Third Party Lattice Play,29000,High,#7AB800,EB,5,,,
DM Online Account's Play,,77,0,1,0,0,0,0,0,1,1,0,100000110,3,DM Online Account's Play,20000,Low,#DC5034,EB,3,,,
DM Online Account's Play Lattice Play,,78,0,1,0,1,0,0,0,1,1,0,101000110,4,DM Online Account's Play Lattice Play,23593,Medium,#c1d82f,EB,9,,,
DM Online Account's Play Third Party Lattice Play,,79,0,1,0,1,0,0,0,1,1,1,101000111,5,DM Online Account's Play Third Party Lattice Play,25333,Medium,#c1d82f,EB,3,,,
