string_combination,,id,em,dm,events,lat_play,trips,seeds,tnb,online,ap,tp,string,sum,organization,total_amount,group,color,segment,Opportunities,,,
EM Online Events Account's Play Seeds Trips Third Party Lattice Play,,172,1,0,1,1,1,1,0,1,1,1,1011110111,8, EM Online Events Account's Play Keep It  Trips Third Party Lattice Play,158935,Medium,#c1d82f,G500,11,,,
EM Online Events Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,173,1,0,1,1,1,1,1,1,1,1,1011111111,9, EM Online Events Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,152667,Medium,#c1d82f,G500,6,,,
DM EM Events Third Party,,174,1,1,1,0,0,0,0,0,0,1,1110000001,4,DM EM Events Third Party ,44800,Low,#DC5034,G500,1,,,
DM EM Online Third Party Lattice Play,,175,1,1,0,1,0,0,0,1,0,1,1101000101,5,DM EM Online Third Party Lattice Play,237489,Medium,#c1d82f,G500,7,,,
DM EM Online Trips Third Party Lattice Play,,176,1,1,0,1,1,0,0,1,0,1,1101100101,6,DM EM Online Trips Third Party Lattice Play,231983,Medium,#c1d82f,G500,38,,,
DM EM Online Account's Play Lattice Play,,177,1,1,0,1,0,0,0,1,1,0,1101000110,5,DM EM Online Account's Play Lattice Play,25449,Low,#DC5034,G500,2,,,
DM EM Online Account's Play Third Party Lattice Play,,178,1,1,0,1,0,0,0,1,1,1,1101000111,6,DM EM Online Account's Play Third Party Lattice Play,26019,Low,#DC5034,G500,4,,,
DM EM Online Account's Play Trips Third Party Lattice Play,,179,1,1,0,1,1,0,0,1,1,1,1101100111,7,DM EM Online Account's Play Trips Third Party Lattice Play,116102,Medium,#c1d82f,G500,47,,,
DM EM Online Account's Play Trips Try n' Buy Third Party Lattice Play,,180,1,1,0,1,1,0,1,1,1,1,1101101111,8,DM EM Online Account's Play Trips  Try n' Buy Third Party Lattice Play,79506,Low,#DC5034,G500,5,,,
DM EM Online Account's Play Seeds Trips Third Party Lattice Play,,181,1,1,0,1,1,1,0,1,1,1,1101110111,8,DM EM Online Account's Play Keep It  Trips Third Party Lattice Play,13000,Low,#DC5034,G500,1,,,
DM EM Online Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,182,1,1,0,1,1,1,1,1,1,1,1101111111,9,DM EM Online Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,192000,Medium,#c1d82f,G500,3,,,
DM EM Online Events Third Party Lattice Play,,183,1,1,1,1,0,0,0,1,0,1,1111000101,6,DM EM Online Events Third Party Lattice Play,48241,Low,#DC5034,G500,5,,,
DM EM Online Events Trips Third Party Lattice Play,,184,1,1,1,1,1,0,0,1,0,1,1111100101,7,DM EM Online Events  Trips Third Party Lattice Play,207259,Medium,#c1d82f,G500,269,,,
DM EM Online Events Trips Try n' Buy Third Party Lattice Play,,185,1,1,1,1,1,0,1,1,0,1,1111101101,8,DM EM Online Events  Trips  Try n' Buy Third Party Lattice Play,417585,High,#7AB800,G500,207,,,
DM EM Online Events Seeds Trips Third Party Lattice Play,,186,1,1,1,1,1,1,0,1,0,1,1111110101,8,DM EM Online Events Keep It  Trips Third Party Lattice Play,273779,High,#7AB800,G500,44,,,
DM EM Online Events Seeds Trips Try n' Buy Third Party Lattice Play,,187,1,1,1,1,1,1,1,1,0,1,1111111101,9,DM EM Online Events Keep It  Trips  Try n' Buy Third Party Lattice Play,776786,High,#7AB800,G500,106,,,
DM EM Online Events Account's Play Third Party Lattice Play,,188,1,1,1,1,0,0,0,1,1,1,1111000111,7,DM EM Online Events Account's Play Third Party Lattice Play,72852,Low,#DC5034,G500,6,,,
DM EM Online Events Account's Play Trips Lattice Play,,189,1,1,1,1,1,0,0,1,1,0,1111100110,7,DM EM Online Events Account's Play Trips  Lattice Play,52400,Low,#DC5034,G500,2,,,
DM EM Online Events Account's Play Trips Third Party Lattice Play,,190,1,1,1,1,1,0,0,1,1,1,1111100111,8,DM EM Online Events Account's Play Trips Third Party Lattice Play,211812,Medium,#c1d82f,G500,342,,,
DM EM Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,191,1,1,1,1,1,0,1,1,1,1,1111101111,9,DM EM Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,519948,High,#7AB800,G500,212,,,
DM EM Online Events Account's Play Seeds Trips Third Party Lattice Play,,192,1,1,1,1,1,1,0,1,1,1,1111110111,9,DM EM Online Events Account's Play Keep It  Trips Third Party Lattice Play,588161,High,#7AB800,G500,56,,,
DM EM Online Events Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,193,1,1,1,1,1,1,1,1,1,1,1111111111,10,DM EM Online Events Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,533612,High,#7AB800,G500,193,,,
Lattice Play,,194,0,0,0,1,0,0,0,0,0,0,1000000,1, Lattice Play,7672,Low,#DC5034,HCLS,2,,,
Trips,,195,0,0,0,0,1,0,0,0,0,0,100000,1, Trips  ,98400,High,#7AB800,HCLS,5,,,
Trips Lattice Play,,196,0,0,0,1,1,0,0,0,0,0,1100000,2, Trips  Lattice Play,15000,Low,#DC5034,HCLS,1,,,
Trips Third Party,,197,0,0,0,0,1,0,0,0,0,1,100001,2, Trips Third Party ,60000,Medium,#c1d82f,HCLS,1,,,
Seeds Trips,,198,0,0,0,0,1,1,0,0,0,0,110000,2, Keep It  Trips  ,800000,High,#7AB800,HCLS,1,,,
Account's Play Third Party,,199,0,0,0,0,0,0,0,0,1,1,11,2,Account's Play Third Party ,43333,Medium,#c1d82f,HCLS,3,,,
Account's Play Trips Lattice Play,,200,0,0,0,1,1,0,0,0,1,0,1100010,3,Account's Play Trips  Lattice Play,8750,Low,#DC5034,HCLS,2,,,
Account's Play Trips Third Party,,201,0,0,0,0,1,0,0,0,1,1,100011,3,Account's Play Trips Third Party ,40000,Medium,#c1d82f,HCLS,4,,,
Events,,202,0,0,1,0,0,0,0,0,0,0,10000000,1, Events,36429,Medium,#c1d82f,HCLS,2,,,
Events Trips Lattice Play,,203,0,0,1,1,1,0,0,0,0,0,11100000,3, Events  Trips  Lattice Play,27533,Low,#DC5034,HCLS,1,,,
Online,,204,0,0,0,0,0,0,0,1,0,0,100,1,Online ,34149,Low,#DC5034,HCLS,8,,,
Online Lattice Play,,205,0,0,0,1,0,0,0,1,0,0,1000100,2,Online Lattice Play,26951,Low,#DC5034,HCLS,5,,,
Online Third Party,,206,0,0,0,0,0,0,0,1,0,1,101,2,Online Third Party ,21745,Low,#DC5034,HCLS,2,,,
Online Third Party Lattice Play,,207,0,0,0,1,0,0,0,1,0,1,1000101,3,Online Third Party Lattice Play,26000,Low,#DC5034,HCLS,1,,,
Online Trips,,208,0,0,0,0,1,0,0,1,0,0,100100,2,Online Trips  ,34000,Low,#DC5034,HCLS,3,,,
Online Trips Lattice Play,,209,0,0,0,1,1,0,0,1,0,0,1100100,3,Online Trips  Lattice Play,79884,High,#7AB800,HCLS,19,,,
Online Trips Third Party,,210,0,0,0,0,1,0,0,1,0,1,100101,3,Online Trips Third Party ,30000,Low,#DC5034,HCLS,1,,,
Online Trips Third Party Lattice Play,,211,0,0,0,1,1,0,0,1,0,1,1100101,4,Online Trips Third Party Lattice Play,194750,High,#7AB800,HCLS,4,,,
Online Account's Play,,212,0,0,0,0,0,0,0,1,1,0,110,2,Online Account's Play ,15161,Low,#DC5034,HCLS,1,,,
Online Account's Play Lattice Play,,213,0,0,0,1,0,0,0,1,1,0,1000110,3,Online Account's Play Lattice Play,10000,Low,#DC5034,HCLS,1,,,
Online Account's Play Third Party Lattice Play,,214,0,0,0,1,0,0,0,1,1,1,1000111,4,Online Account's Play Third Party Lattice Play,70000,Medium,#c1d82f,HCLS,1,,,
Online Account's Play Trips Lattice Play,,215,0,0,0,1,1,0,0,1,1,0,1100110,4,Online Account's Play Trips  Lattice Play,36963,Medium,#c1d82f,HCLS,7,,,
Online Account's Play Trips Third Party Lattice Play,,216,0,0,0,1,1,0,0,1,1,1,1100111,5,Online Account's Play Trips Third Party Lattice Play,46000,Medium,#c1d82f,HCLS,3,,,
Online Account's Play Trips Try n' Buy Third Party Lattice Play,,217,0,0,0,1,1,0,1,1,1,1,1101111,6,Online Account's Play Trips  Try n' Buy Third Party Lattice Play,307096,High,#7AB800,HCLS,2,,,
Online Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,218,0,0,0,1,1,1,1,1,1,1,1111111,7,Online Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,214852,High,#7AB800,HCLS,3,,,
Online Events Trips Lattice Play,,219,0,0,1,1,1,0,0,1,0,0,11100100,4,Online Events  Trips  Lattice Play,70763,High,#7AB800,HCLS,10,,,
Online Events Trips Third Party Lattice Play,,220,0,0,1,1,1,0,0,1,0,1,11100101,5,Online Events  Trips Third Party Lattice Play,71081,High,#7AB800,HCLS,7,,,
Online Events Trips Try n' Buy Third Party Lattice Play,,221,0,0,1,1,1,0,1,1,0,1,11101101,6,Online Events  Trips  Try n' Buy Third Party Lattice Play,123107,High,#7AB800,HCLS,4,,,
Online Events Account's Play Trips Lattice Play,,222,0,0,1,1,1,0,0,1,1,0,11100110,5,Online Events Account's Play Trips  Lattice Play,132207,High,#7AB800,HCLS,3,,,
Online Events Account's Play Trips Third Party Lattice Play,,223,0,0,1,1,1,0,0,1,1,1,11100111,6,Online Events Account's Play Trips Third Party Lattice Play,46823,Medium,#c1d82f,HCLS,11,,,
Online Events Account's Play Trips Try n' Buy Lattice Play,,224,0,0,1,1,1,0,1,1,1,0,11101110,6,Online Events Account's Play Trips  Try n' Buy Lattice Play,129787,High,#7AB800,HCLS,3,,,
Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,225,0,0,1,1,1,0,1,1,1,1,11101111,7,Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,297000,High,#7AB800,HCLS,1,,,
EM,,226,1,0,0,0,0,0,0,0,0,0,1000000000,1, EM,61429,Medium,#c1d82f,HCLS,7,,,
EM Lattice Play,,227,1,0,0,1,0,0,0,0,0,0,1001000000,2, EM Lattice Play,250000,High,#7AB800,HCLS,1,,,
EM Third Party Lattice Play,,228,1,0,0,1,0,0,0,0,0,1,1001000001,3, EM Third Party Lattice Play,157566,High,#7AB800,HCLS,1,,,
EM Trips,,229,1,0,0,0,1,0,0,0,0,0,1000100000,2, EM  Trips  ,72500,High,#7AB800,HCLS,2,,,
EM Trips Lattice Play,,230,1,0,0,1,1,0,0,0,0,0,1001100000,3, EM  Trips  Lattice Play,96800,High,#7AB800,HCLS,5,,,
EM Trips Third Party,,231,1,0,0,0,1,0,0,0,0,1,1000100001,3, EM  Trips Third Party ,96667,High,#7AB800,HCLS,3,,,
EM Trips Third Party Lattice Play,,232,1,0,0,1,1,0,0,0,0,1,1001100001,4, EM  Trips Third Party Lattice Play,58573,Medium,#c1d82f,HCLS,6,,,
EM Account's Play,,233,1,0,0,0,0,0,0,0,1,0,1000000010,2, EM Account's Play ,42500,Medium,#c1d82f,HCLS,2,,,
EM Account's Play Third Party,,234,1,0,0,0,0,0,0,0,1,1,1000000011,3, EM Account's Play Third Party ,71500,High,#7AB800,HCLS,2,,,
EM Account's Play Trips Lattice Play,,235,1,0,0,1,1,0,0,0,1,0,1001100010,4, EM Account's Play Trips  Lattice Play,52500,Medium,#c1d82f,HCLS,4,,,
EM Events Trips Lattice Play,,236,1,0,1,1,1,0,0,0,0,0,1011100000,4, EM Events  Trips  Lattice Play,45800,Medium,#c1d82f,HCLS,3,,,
EM Events Trips Third Party,,237,1,0,1,0,1,0,0,0,0,1,1010100001,4, EM Events  Trips Third Party ,40000,Medium,#c1d82f,HCLS,2,,,
EM Events Account's Play Trips Lattice Play,,238,1,0,1,1,1,0,0,0,1,0,1011100010,5, EM Events Account's Play Trips  Lattice Play,33938,Low,#DC5034,HCLS,4,,,
EM Events Account's Play Trips Third Party Lattice Play,,239,1,0,1,1,1,0,0,0,1,1,1011100011,6, EM Events Account's Play Trips Third Party Lattice Play,50000,Medium,#c1d82f,HCLS,6,,,
EM Online,,240,1,0,0,0,0,0,0,1,0,0,1000000100,2, EM Online ,45537,Medium,#c1d82f,HCLS,7,,,
EM Online Lattice Play,,241,1,0,0,1,0,0,0,1,0,0,1001000100,3, EM Online Lattice Play,35609,Medium,#c1d82f,HCLS,28,,,
EM Online Third Party Lattice Play,,242,1,0,0,1,0,0,0,1,0,1,1001000101,4, EM Online Third Party Lattice Play,20994,Low,#DC5034,HCLS,4,,,
EM Online Trips,,243,1,0,0,0,1,0,0,1,0,0,1000100100,3, EM Online Trips  ,42003,Medium,#c1d82f,HCLS,3,,,
EM Online Trips Lattice Play,,244,1,0,0,1,1,0,0,1,0,0,1001100100,4, EM Online Trips  Lattice Play,57444,Medium,#c1d82f,HCLS,60,,,
EM Online Trips Third Party Lattice Play,,245,1,0,0,1,1,0,0,1,0,1,1001100101,5, EM Online Trips Third Party Lattice Play,52022,Medium,#c1d82f,HCLS,46,,,
EM Online Account's Play,,246,1,0,0,0,0,0,0,1,1,0,1000000110,3, EM Online Account's Play ,25900,Low,#DC5034,HCLS,2,,,
EM Online Account's Play Lattice Play,,247,1,0,0,1,0,0,0,1,1,0,1001000110,4, EM Online Account's Play Lattice Play,22656,Low,#DC5034,HCLS,11,,,
EM Online Account's Play Trips Lattice Play,,248,1,0,0,1,1,0,0,1,1,0,1001100110,5, EM Online Account's Play Trips  Lattice Play,73203,High,#7AB800,HCLS,45,,,
EM Online Account's Play Trips Third Party Lattice Play,,249,1,0,0,1,1,0,0,1,1,1,1001100111,6, EM Online Account's Play Trips Third Party Lattice Play,103236,High,#7AB800,HCLS,74,,,
EM Online Account's Play Trips Try n' Buy Third Party Lattice Play,,250,1,0,0,1,1,0,1,1,1,1,1001101111,7, EM Online Account's Play Trips  Try n' Buy Third Party Lattice Play,22000,Low,#DC5034,HCLS,2,,,
EM Online Events Lattice Play,,251,1,0,1,1,0,0,0,1,0,0,1011000100,4, EM Online Events Lattice Play,19000,Low,#DC5034,HCLS,2,,,
EM Online Events Third Party,,252,1,0,1,0,0,0,0,1,0,1,1010000101,4, EM Online Events Third Party ,13062,Low,#DC5034,HCLS,2,,,
EM Online Events Third Party Lattice Play,,253,1,0,1,1,0,0,0,1,0,1,1011000101,5, EM Online Events Third Party Lattice Play,85733,High,#7AB800,HCLS,3,,,
EM Online Events Trips Lattice Play,,254,1,0,1,1,1,0,0,1,0,0,1011100100,5, EM Online Events  Trips  Lattice Play,97761,High,#7AB800,HCLS,27,,,
EM Online Events Trips Third Party,,255,1,0,1,0,1,0,0,1,0,1,1010100101,5, EM Online Events  Trips Third Party ,52000,Medium,#c1d82f,HCLS,1,,,
EM Online Events Trips Third Party Lattice Play,,256,1,0,1,1,1,0,0,1,0,1,1011100101,6, EM Online Events  Trips Third Party Lattice Play,104802,High,#7AB800,HCLS,69,,,
EM Online Events Trips Try n' Buy Third Party Lattice Play,,257,1,0,1,1,1,0,1,1,0,1,1011101101,7, EM Online Events  Trips  Try n' Buy Third Party Lattice Play,218333,High,#7AB800,HCLS,3,,,
EM Online Events Seeds Trips Third Party Lattice Play,,258,1,0,1,1,1,1,0,1,0,1,1011110101,7, EM Online Events Keep It  Trips Third Party Lattice Play,270000,High,#7AB800,HCLS,1,,,
EM Online Events Account's Play Lattice Play,,259,1,0,1,1,0,0,0,1,1,0,1011000110,5, EM Online Events Account's Play Lattice Play,25000,Low,#DC5034,HCLS,4,,,
EM Online Events Account's Play Trips Lattice Play,,260,1,0,1,1,1,0,0,1,1,0,1011100110,6, EM Online Events Account's Play Trips  Lattice Play,81975,High,#7AB800,HCLS,37,,,
EM Online Events Account's Play Trips Third Party Lattice Play,,261,1,0,1,1,1,0,0,1,1,1,1011100111,7, EM Online Events Account's Play Trips Third Party Lattice Play,180277,High,#7AB800,HCLS,97,,,
EM Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,262,1,0,1,1,1,0,1,1,1,1,1011101111,8, EM Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,92408,High,#7AB800,HCLS,2,,,
EM Online Events Account's Play Seeds Trips Lattice Play,,263,1,0,1,1,1,1,0,1,1,0,1011110110,7, EM Online Events Account's Play Keep It  Trips  Lattice Play,7500,Low,#DC5034,HCLS,2,,,
EM Online Events Account's Play Seeds Trips Third Party Lattice Play,,264,1,0,1,1,1,1,0,1,1,1,1011110111,8, EM Online Events Account's Play Keep It  Trips Third Party Lattice Play,306745,High,#7AB800,HCLS,16,,,
DM,,265,0,1,0,0,0,0,0,0,0,0,100000000,1,DM ,14750,Low,#DC5034,HCLS,4,,,
DM Trips Lattice Play,,266,0,1,0,1,1,0,0,0,0,0,101100000,3,DM Trips  Lattice Play,35000,High,#7AB800,HCLS,2,,,
DM Account's Play,,267,0,1,0,0,0,0,0,0,1,0,100000010,2,DM Account's Play ,10000,Low,#DC5034,HCLS,1,,,
DM Online,,268,0,1,0,0,0,0,0,1,0,0,100000100,2,DM Online ,24000,Low,#DC5034,HCLS,1,,,
DM Online Lattice Play,,269,0,1,0,1,0,0,0,1,0,0,101000100,3,DM Online Lattice Play,75000,High,#7AB800,HCLS,1,,,
DM Online Trips,,270,0,1,0,0,1,0,0,1,0,0,100100100,3,DM Online Trips  ,5000,Low,#DC5034,HCLS,1,,,
DM Online Trips Lattice Play,,271,0,1,0,1,1,0,0,1,0,0,101100100,4,DM Online Trips  Lattice Play,17500,Low,#DC5034,HCLS,2,,,
DM Online Account's Play Lattice Play,,272,0,1,0,1,0,0,0,1,1,0,101000110,4,DM Online Account's Play Lattice Play,38750,Medium,#c1d82f,HCLS,4,,,
DM Online Account's Play Trips,,273,0,1,0,0,1,0,0,1,1,0,100100110,4,DM Online Account's Play Trips  ,80000,High,#7AB800,HCLS,1,,,
DM Online Account's Play Trips Lattice Play,,274,0,1,0,1,1,0,0,1,1,0,101100110,5,DM Online Account's Play Trips  Lattice Play,27750,Low,#DC5034,HCLS,4,,,
DM Online Events Trips,,275,0,1,1,0,1,0,0,1,0,0,110100100,4,DM Online Events  Trips  ,100000,High,#7AB800,HCLS,1,,,
DM EM,,276,1,1,0,0,0,0,0,0,0,0,1100000000,2,DM EM,48292,Medium,#c1d82f,HCLS,12,,,
DM EM Lattice Play,,277,1,1,0,1,0,0,0,0,0,0,1101000000,3,DM EM Lattice Play,36543,Medium,#c1d82f,HCLS,10,,,
DM EM Third Party,,278,1,1,0,0,0,0,0,0,0,1,1100000001,3,DM EM Third Party ,23700,Low,#DC5034,HCLS,1,,,
DM EM Third Party Lattice Play,,279,1,1,0,1,0,0,0,0,0,1,1101000001,4,DM EM Third Party Lattice Play,39267,Medium,#c1d82f,HCLS,6,,,
DM EM Trips,,280,1,1,0,0,1,0,0,0,0,0,1100100000,3,DM EM  Trips  ,42802,Medium,#c1d82f,HCLS,11,,,
DM EM Trips Lattice Play,,281,1,1,0,1,1,0,0,0,0,0,1101100000,4,DM EM  Trips  Lattice Play,86325,High,#7AB800,HCLS,8,,,
DM EM Trips Third Party,,282,1,1,0,0,1,0,0,0,0,1,1100100001,4,DM EM  Trips Third Party ,63333,Medium,#c1d82f,HCLS,3,,,
DM EM Trips Third Party Lattice Play,,283,1,1,0,1,1,0,0,0,0,1,1101100001,5,DM EM  Trips Third Party Lattice Play,78400,High,#7AB800,HCLS,3,,,
DM EM Seeds Trips Third Party Lattice Play,,284,1,1,0,1,1,1,0,0,0,1,1101110001,6,DM EM Keep It  Trips Third Party Lattice Play,49430,Medium,#c1d82f,HCLS,2,,,
DM EM Account's Play,,285,1,1,0,0,0,0,0,0,1,0,1100000010,3,DM EM Account's Play ,5000,Low,#DC5034,HCLS,1,,,
DM EM Account's Play Lattice Play,,286,1,1,0,1,0,0,0,0,1,0,1101000010,4,DM EM Account's Play Lattice Play,29500,Low,#DC5034,HCLS,4,,,
DM EM Account's Play Third Party Lattice Play,,287,1,1,0,1,0,0,0,0,1,1,1101000011,5,DM EM Account's Play Third Party Lattice Play,152338,High,#7AB800,HCLS,1,,,
DM EM Account's Play Trips,,288,1,1,0,0,1,0,0,0,1,0,1100100010,4,DM EM Account's Play Trips  ,50000,Medium,#c1d82f,HCLS,2,,,
DM EM Account's Play Trips Lattice Play,,289,1,1,0,1,1,0,0,0,1,0,1101100010,5,DM EM Account's Play Trips  Lattice Play,35667,Medium,#c1d82f,HCLS,6,,,
DM EM Account's Play Trips Third Party Lattice Play,,290,1,1,0,1,1,0,0,0,1,1,1101100011,6,DM EM Account's Play Trips Third Party Lattice Play,25000,Low,#DC5034,HCLS,1,,,
DM EM Events,,291,1,1,1,0,0,0,0,0,0,0,1110000000,3,DM EM Events,35000,High,#7AB800,HCLS,1,,,
DM EM Events Lattice Play,,292,1,1,1,1,0,0,0,0,0,0,1111000000,4,DM EM Events Lattice Play,15000,Low,#DC5034,HCLS,1,,,
DM EM Events Third Party Lattice Play,,293,1,1,1,1,0,0,0,0,0,1,1111000001,5,DM EM Events Third Party Lattice Play,13000,Low,#DC5034,HCLS,1,,,
DM EM Events Trips,,294,1,1,1,0,1,0,0,0,0,0,1110100000,4,DM EM Events  Trips  ,24000,Low,#DC5034,HCLS,2,,,
DM EM Events Trips Lattice Play,,295,1,1,1,1,1,0,0,0,0,0,1111100000,5,DM EM Events  Trips  Lattice Play,15000,Low,#DC5034,HCLS,1,,,
DM EM Events Trips Third Party,,296,1,1,1,0,1,0,0,0,0,1,1110100001,5,DM EM Events  Trips Third Party ,57500,Medium,#c1d82f,HCLS,2,,,
DM EM Events Trips Third Party Lattice Play,,297,1,1,1,1,1,0,0,0,0,1,1111100001,6,DM EM Events  Trips Third Party Lattice Play,134800,High,#7AB800,HCLS,5,,,
DM EM Events Account's Play Trips Third Party Lattice Play,,298,1,1,1,1,1,0,0,0,1,1,1111100011,7,DM EM Events Account's Play Trips Third Party Lattice Play,21667,Low,#DC5034,HCLS,6,,,
DM EM Online,,299,1,1,0,0,0,0,0,1,0,0,1100000100,3,DM EM Online ,60782,Medium,#c1d82f,HCLS,10,,,
DM EM Online Lattice Play,,300,1,1,0,1,0,0,0,1,0,0,1101000100,4,DM EM Online Lattice Play,42057,Medium,#c1d82f,HCLS,55,,,
DM EM Online Third Party,,301,1,1,0,0,0,0,0,1,0,1,1100000101,4,DM EM Online Third Party ,175000,High,#7AB800,HCLS,3,,,
DM EM Online Third Party Lattice Play,,302,1,1,0,1,0,0,0,1,0,1,1101000101,5,DM EM Online Third Party Lattice Play,34000,Low,#DC5034,HCLS,4,,,
DM EM Online Trips,,303,1,1,0,0,1,0,0,1,0,0,1100100100,4,DM EM Online Trips  ,38034,Medium,#c1d82f,HCLS,11,,,
DM EM Online Trips Lattice Play,,304,1,1,0,1,1,0,0,1,0,0,1101100100,5,DM EM Online Trips  Lattice Play,90986,High,#7AB800,HCLS,64,,,
DM EM Online Trips Third Party,,305,1,1,0,0,1,0,0,1,0,1,1100100101,5,DM EM Online Trips Third Party ,58122,Medium,#c1d82f,HCLS,10,,,
DM EM Online Trips Third Party Lattice Play,,306,1,1,0,1,1,0,0,1,0,1,1101100101,6,DM EM Online Trips Third Party Lattice Play,63145,Medium,#c1d82f,HCLS,90,,,
DM EM Online Trips Try n' Buy Third Party Lattice Play,,307,1,1,0,1,1,0,1,1,0,1,1101101101,7,DM EM Online Trips  Try n' Buy Third Party Lattice Play,43242,Medium,#c1d82f,HCLS,13,,,
DM EM Online Seeds Trips Lattice Play,,308,1,1,0,1,1,1,0,1,0,0,1101110100,6,DM EM Online Keep It  Trips  Lattice Play,25000,Low,#DC5034,HCLS,1,,,
DM EM Online Seeds Trips Third Party Lattice Play,,309,1,1,0,1,1,1,0,1,0,1,1101110101,7,DM EM Online Keep It  Trips Third Party Lattice Play,37500,Medium,#c1d82f,HCLS,1,,,
DM EM Online Account's Play,,310,1,1,0,0,0,0,0,1,1,0,1100000110,4,DM EM Online Account's Play ,70380,Medium,#c1d82f,HCLS,1,,,
DM EM Online Account's Play Lattice Play,,311,1,1,0,1,0,0,0,1,1,0,1101000110,5,DM EM Online Account's Play Lattice Play,122998,High,#7AB800,HCLS,26,,,
DM EM Online Account's Play Third Party,,312,1,1,0,0,0,0,0,1,1,1,1100000111,5,DM EM Online Account's Play Third Party ,27000,Low,#DC5034,HCLS,3,,,
DM EM Online Account's Play Third Party Lattice Play,,313,1,1,0,1,0,0,0,1,1,1,1101000111,6,DM EM Online Account's Play Third Party Lattice Play,39938,Medium,#c1d82f,HCLS,10,,,
DM EM Online Account's Play Trips,,314,1,1,0,0,1,0,0,1,1,0,1100100110,5,DM EM Online Account's Play Trips  ,34825,Low,#DC5034,HCLS,7,,,
DM EM Online Account's Play Trips Lattice Play,,315,1,1,0,1,1,0,0,1,1,0,1101100110,6,DM EM Online Account's Play Trips  Lattice Play,83186,High,#7AB800,HCLS,93,,,
DM EM Online Account's Play Trips Third Party,,316,1,1,0,0,1,0,0,1,1,1,1100100111,6,DM EM Online Account's Play Trips Third Party ,4000,Low,#DC5034,HCLS,1,,,
DM EM Online Account's Play Trips Third Party Lattice Play,,317,1,1,0,1,1,0,0,1,1,1,1101100111,7,DM EM Online Account's Play Trips Third Party Lattice Play,89216,High,#7AB800,HCLS,125,,,
DM EM Online Account's Play Trips Try n' Buy Third Party Lattice Play,,318,1,1,0,1,1,0,1,1,1,1,1101101111,8,DM EM Online Account's Play Trips  Try n' Buy Third Party Lattice Play,58705,Medium,#c1d82f,HCLS,3,,,
DM EM Online Account's Play Seeds Trips Lattice Play,,319,1,1,0,1,1,1,0,1,1,0,1101110110,7,DM EM Online Account's Play Keep It  Trips  Lattice Play,24800,Low,#DC5034,HCLS,1,,,
DM EM Online Account's Play Seeds Trips Third Party Lattice Play,,320,1,1,0,1,1,1,0,1,1,1,1101110111,8,DM EM Online Account's Play Keep It  Trips Third Party Lattice Play,51178,Medium,#c1d82f,HCLS,2,,,
DM EM Online Account's Play Seeds Trips Try n' Buy Third Party Lattice Play,,321,1,1,0,1,1,1,1,1,1,1,1101111111,9,DM EM Online Account's Play Keep It  Trips  Try n' Buy Third Party Lattice Play,51500,Medium,#c1d82f,HCLS,1,,,
DM EM Online Events,,322,1,1,1,0,0,0,0,1,0,0,1110000100,4,DM EM Online Events,35000,High,#7AB800,HCLS,1,,,
DM EM Online Events Lattice Play,,323,1,1,1,1,0,0,0,1,0,0,1111000100,5,DM EM Online Events Lattice Play,25000,Low,#DC5034,HCLS,2,,,
DM EM Online Events Third Party Lattice Play,,324,1,1,1,1,0,0,0,1,0,1,1111000101,6,DM EM Online Events Third Party Lattice Play,21750,Low,#DC5034,HCLS,4,,,
DM EM Online Events Trips,,325,1,1,1,0,1,0,0,1,0,0,1110100100,5,DM EM Online Events  Trips  ,1178500,High,#7AB800,HCLS,5,,,
DM EM Online Events Trips Lattice Play,,326,1,1,1,1,1,0,0,1,0,0,1111100100,6,DM EM Online Events  Trips  Lattice Play,79914,High,#7AB800,HCLS,43,,,
DM EM Online Events Trips Third Party,,327,1,1,1,0,1,0,0,1,0,1,1110100101,6,DM EM Online Events  Trips Third Party ,50000,Medium,#c1d82f,HCLS,1,,,
DM EM Online Events Trips Third Party Lattice Play,,328,1,1,1,1,1,0,0,1,0,1,1111100101,7,DM EM Online Events  Trips Third Party Lattice Play,114221,High,#7AB800,HCLS,94,,,
DM EM Online Events Trips Try n' Buy Third Party Lattice Play,,329,1,1,1,1,1,0,1,1,0,1,1111101101,8,DM EM Online Events  Trips  Try n' Buy Third Party Lattice Play,324266,High,#7AB800,HCLS,6,,,
DM EM Online Events Seeds Trips Lattice Play,,330,1,1,1,1,1,1,0,1,0,0,1111110100,7,DM EM Online Events Keep It  Trips  Lattice Play,6600,Low,#DC5034,HCLS,2,,,
